sample_id,result_dir,mask_ratio,method,layer,n,rmse,mae,cos,pearson_r
151507,151507_seed2874_e100_per_site_random_60_seed2874,60,AIRDiff-ST,all_holdout,5992262,0.02699324971692692,0.009168953586542579,0.8800258107337215,0.8869521229957019
151508,151508_seed2874_e100_per_site_random_60_seed2874,60,AIRDiff-ST,all_holdout,5521560,0.023580267669006175,0.006697050582472002,0.9001589417720821,0.9036501309694418
151509,151509_seed2874_e100_per_site_random_60_seed2874,60,AIRDiff-ST,all_holdout,6540251,0.025878288152034388,0.007058949823937706,0.8910053474287825,0.8939467875760319
151510,151510_seed2874_e100_per_site_random_60_seed2874,60,AIRDiff-ST,all_holdout,6234353,0.02478921793367824,0.00895959791334465,0.8956321335979757,0.903045839794905
151669,151669_seed1531_e100_per_site_random_60_seed1531,60,AIRDiff-ST,all_holdout,6532881,0.02605342738696616,0.008331270325526665,0.9155667937477849,0.9193000278334806
151670,151670_seed1531_e100_per_site_random_60_seed1531,60,AIRDiff-ST,all_holdout,4847211,0.022297323217770684,0.003992430709484192,0.9362812682137686,0.936244223852717
151671,151671_seed1531_e100_per_site_random_60_seed1531,60,AIRDiff-ST,all_holdout,8501281,0.02619181746737418,0.00824741479073178,0.9186691109215805,0.9223646322432396
151672,151672_seed1531_e100_per_site_random_60_seed1531,60,AIRDiff-ST,all_holdout,6091389,0.025125799569048212,0.008091988043824515,0.9206085803717496,0.9243318894070838
151673,seed1531_e100_per_site_random_60_seed1531,60,AIRDiff-ST,all_holdout,6053512,0.025030669924145713,0.006347481100571367,0.8958483564788013,0.8977808124144282
151674,151674_seed1531_e100_per_site_random_60_seed1531,60,AIRDiff-ST,all_holdout,12791022,0.03088551283905912,0.01193105280086716,0.8412739018026953,0.8542529951561447
151675,151675_seed1531_e100_per_site_random_60_seed1531,60,AIRDiff-ST,all_holdout,4769830,0.02457089010349871,0.007368008566475768,0.8892402128446178,0.8934144018739141
151676,151676_seed1531_e100_per_site_random_60_seed1531,60,AIRDiff-ST,all_holdout,5629381,0.027946398687425655,0.008465567475910762,0.8732993587342796,0.8776286707128359
151507,151507_seed2874_e100_per_site_random_60_seed2874,60,AIRGate-ST,all_holdout,5992262,0.03329748390928767,0.006206413608791607,0.8338353939460652,0.8342207626234299
151508,151508_seed2874_e100_per_site_random_60_seed2874,60,AIRGate-ST,all_holdout,5521560,0.03160784919183286,0.0051001425162252095,0.8403342643008058,0.840286294558644
151509,151509_seed2874_e100_per_site_random_60_seed2874,60,AIRGate-ST,all_holdout,6540251,0.030655438619012734,0.005374601352752544,0.8571828014206022,0.8572103319167721
151510,151510_seed2874_e100_per_site_random_60_seed2874,60,AIRGate-ST,all_holdout,6234353,0.031075813670645987,0.005131832800711884,0.8519276212499347,0.8518252895065801
151669,151669_seed1531_e100_per_site_random_60_seed1531,60,AIRGate-ST,all_holdout,6532881,0.03431887274755071,0.006439290390565429,0.8645123098911587,0.8645919441966076
151670,151670_seed1531_e100_per_site_random_60_seed1531,60,AIRGate-ST,all_holdout,4847211,0.029313006303142892,0.0050961591824767545,0.8975946364384529,0.8976106979948666
151671,151671_seed1531_e100_per_site_random_60_seed1531,60,AIRGate-ST,all_holdout,8501281,0.0379137700250774,0.006545009051515906,0.8514417909712341,0.8512688896758431
