mask_ratio,layer,method,metric,value,rank,signed_improvement_vs_mean
20,all_holdout,Mean Baseline,rmse,0.021689113052796624,1,0.0
20,all_holdout,SoftImpute,rmse,0.03389924355371184,4,-0.012210130500915219
20,all_holdout,Multiple Imputation,rmse,0.02522282749296012,3,-0.0035337144401634962
20,all_holdout,Spatial KNN,rmse,0.03592977683136353,5,-0.014240663778566906
20,all_holdout,Spatial IDW,rmse,0.036478617636526926,6,-0.014789504583730302
20,all_holdout,AIRGate-ST,rmse,0.03723093785203911,7,-0.015541824799242487
20,all_holdout,AIRDiff-ST,rmse,0.024017194272752767,2,-0.002328081219956143
20,all_holdout,Mean Baseline,mae,0.00229788009847625,1,0.0
20,all_holdout,SoftImpute,mae,0.003032086192280686,4,-0.0007342060938044358
20,all_holdout,Multiple Imputation,mae,0.005784213549358926,6,-0.003486333450882676
20,all_holdout,Spatial KNN,mae,0.0024295618799986527,2,-0.0001316817815224026
20,all_holdout,Spatial IDW,mae,0.002465312537674213,3,-0.00016743243919796306
20,all_holdout,AIRGate-ST,mae,0.006744147624948387,7,-0.004446267526472137
20,all_holdout,AIRDiff-ST,mae,0.005686995458569148,5,-0.003389115360092898
20,all_holdout,Mean Baseline,cos,0.9199445166383072,1,0.0
20,all_holdout,SoftImpute,cos,0.8265555486470845,4,-0.09338896799122276
20,all_holdout,Multiple Imputation,cos,0.8926638252132421,3,-0.027280691425065173
20,all_holdout,Spatial KNN,cos,0.7609418611438852,6,-0.15900265549442205
20,all_holdout,Spatial IDW,cos,0.7525349774851573,7,-0.16740953915314993
20,all_holdout,AIRGate-ST,cos,0.8152145503774857,5,-0.10472996626082154
20,all_holdout,AIRDiff-ST,cos,0.9013068788056255,2,-0.018637637832681686
20,all_holdout,Mean Baseline,pearson_r,0.9194593677273037,1,0.0
20,all_holdout,SoftImpute,pearson_r,0.8255123471262349,4,-0.09394702060106885
20,all_holdout,Multiple Imputation,pearson_r,0.894010168224644,3,-0.02544919950265978
